:START_ID,:END_ID,:TYPE
Q108889821,Q2434365,ANGGOTA_PARTAI
Q108891524,Q1186306,ANGGOTA_PARTAI
Q108892599,Q4207219,ANGGOTA_PARTAI
Q108892599,Q115754699,ANGGOTA_PARTAI
Q123883143,Q4207219,ANGGOTA_PARTAI
Q123883920,Q1257317,ANGGOTA_PARTAI
Q123714089,Q2434365,ANGGOTA_PARTAI
Q123884661,Q4207219,ANGGOTA_PARTAI
Q123873826,Q1186227,ANGGOTA_PARTAI
Q123897847,Q1257317,ANGGOTA_PARTAI
Q123887049,Q4261459,ANGGOTA_PARTAI
Q123885194,Q97016042,ANGGOTA_PARTAI
Q123710173,Q19752495,ANGGOTA_PARTAI
Q123878438,Q4261459,ANGGOTA_PARTAI
Q123879835,Q123553440,ANGGOTA_PARTAI
Q123873986,Q106255756,ANGGOTA_PARTAI
Q123868504,Q1186306,ANGGOTA_PARTAI
Q123868923,Q1257317,ANGGOTA_PARTAI
Q122809332,Q4261459,ANGGOTA_PARTAI
Q123868695,Q4207219,ANGGOTA_PARTAI
Q123892740,Q4207219,ANGGOTA_PARTAI
Q123892185,Q2434365,ANGGOTA_PARTAI
Q123871631,Q1257317,ANGGOTA_PARTAI
Q123892236,Q4261459,ANGGOTA_PARTAI
Q123893613,Q1186227,ANGGOTA_PARTAI
Q123882022,Q1186306,ANGGOTA_PARTAI
Q123892201,Q1186227,ANGGOTA_PARTAI
Q123892580,Q2915024,ANGGOTA_PARTAI
Q123892339,Q1536552,ANGGOTA_PARTAI
Q123894694,Q1186227,ANGGOTA_PARTAI
Q123877275,Q1536552,ANGGOTA_PARTAI
Q123892441,Q4207219,ANGGOTA_PARTAI
Q123892484,Q1186227,ANGGOTA_PARTAI
Q123716372,Q1186306,ANGGOTA_PARTAI
Q123892065,Q2915024,ANGGOTA_PARTAI
Q123892338,Q1536552,ANGGOTA_PARTAI
Q123877350,Q2434365,ANGGOTA_PARTAI
Q123892733,Q4207219,ANGGOTA_PARTAI
Q123873503,Q1186227,ANGGOTA_PARTAI
Q123880297,Q1186306,ANGGOTA_PARTAI
Q123712480,Q1257317,ANGGOTA_PARTAI
Q123882711,Q23744654,ANGGOTA_PARTAI
Q123874391,Q2434365,ANGGOTA_PARTAI
Q123883127,Q4261459,ANGGOTA_PARTAI
Q123867506,Q2434365,ANGGOTA_PARTAI
Q123710617,Q1536552,ANGGOTA_PARTAI
Q123868223,Q1511101,ANGGOTA_PARTAI
Q123879866,Q106255756,ANGGOTA_PARTAI
Q123712094,Q2669302,ANGGOTA_PARTAI
Q123867507,Q2434365,ANGGOTA_PARTAI
Q123867390,Q2434365,ANGGOTA_PARTAI
Q123882888,Q1186306,ANGGOTA_PARTAI
Q123891895,Q1536552,ANGGOTA_PARTAI
Q123715527,Q4207219,ANGGOTA_PARTAI
Q123714328,Q19752495,ANGGOTA_PARTAI
Q123884569,Q1511101,ANGGOTA_PARTAI
