kodeId:ID,nama,:LABEL
Q116507137,Independent Voice of the Acehnese Party,Partai
Q135225648,Serindo,Partai
Q6082666,Angkatan Kemenangan Umat Islam,Partai
Q4240476,Barisan Tani Indonesia,Partai
Q107039750,Daftar pemimpin partai politik di Indonesia,Partai
Q135005398,Fraksi Demokrat (orde lama),Partai
Q5266692,Fraksi Pembangunan,Partai
Q4313262,Front Demokrasi Rakyat,Partai
Q852258,Gerakan Aceh Merdeka,Partai
Q110413286,Gerakan Rakyat Indonesia,Partai
Q125288249,Gerakan Riau Merdeka,Partai
Q12503305,Ikatan Pendukung Kemerdekaan Indonesia,Partai
Q2579297,Majelis Syuro Muslimin Indonesia,Partai
Q109606755,Masyumi Reborn,Partai
Q4260843,Murba,Partai
Q686441,Nahdlatul Ulama,Partai
Q6025143,National Indische Partij,Partai
Q5154404,PKI Merah,Partai
Q3014337,Partai Abul Yatama,Partai
Q4262048,Partai Aceh,Partai
Q4261063,Partai Aceh Aman Seujahtra,Partai
Q4059714,Partai Acoma,Partai
Q123553439,Partai Adil Sejahtera Aceh,Partai
Q12503298,Partai Aliansi Demokrat Indonesia,Partai
Q2434365,Partai Amanat Nasional,Partai
Q96372740,Partai Atjeh Hijau,Partai
Q4261758,Partai Barisan Nasional,Partai
Q31173603,Partai Berkarya,Partai
Q4673073,Partai Bersatu Aceh,Partai
Q17999437,Partai Bhinneka Tunggal Ika Indonesia,Partai
Q4261778,Partai Bintang Reformasi,Partai
Q2915024,Partai Bulan Bintang,Partai
Q4203001,Partai Buruh,Partai
Q6467180,Partai Buruh,Partai
Q108940356,Partai Buruh,Partai
Q116299110,"Partai Buruh (Indonesia, 1998)",Partai
Q4203019,Partai Buruh Indonesia,Partai
Q12503301,Partai Cinta Damai,Partai
Q4920529,Partai Daerah Aceh,Partai
Q109606710,Partai Dakwah Rakyat Indonesia,Partai
Q7250923,Partai Damai Sejahtera,Partai
Q12503302,Partai Daulat Rakyat,Partai
Q2084109,Partai Demokrasi Indonesia,Partai
Q1186306,Partai Demokrasi Indonesia Perjuangan,Partai
Q12503303,Partai Demokrasi Kasih Bangsa,Partai
Q4261748,Partai Demokrasi Kebangsaan,Partai
Q387768,Partai Demokrasi Pembaruan,Partai
Q1186227,Partai Demokrat (Indonesia),Partai
Q63986532,Partai Demokrat Tionghoa Indonesia,Partai
Q123553440,Partai Garda Republik Indonesia,Partai
Q97016042,Partai Gelombang Rakyat Indonesia,Partai
Q56393536,Partai Generasi Atjeh Beusaboh Tha'at Dan Taqwa,Partai
Q4261459,Partai Gerakan Indonesia Raya,Partai
Q137803778,Partai Gerakan Mandiri Bangsa,Partai
Q49707489,Partai Gerakan Perubahan Indonesia,Partai
Q1536552,Partai Golongan Karya,Partai
Q4262041,Partai Hati Nurani Rakyat,Partai
Q12503304,Partai Hijau Indonesia,Partai
Q22344823,Partai Idaman,Partai
Q19730387,Partai Indonesia,Partai
Q12503306,Partai Indonesia Baru,Partai
Q12503307,Partai Indonesia Raya,Partai
Q4261364,Partai Indonesia Sejahtera,Partai
Q12503309,Partai Islam Demokrat,Partai
Q5158454,Partai Karya Peduli Bangsa,Partai
Q4261329,Partai Karya Perjuangan,Partai
Q127369564,Partai Kasih,Partai
Q6026067,Partai Kasih Demokrasi Indonesia,Partai
Q5053222,Partai Katolik,Partai
Q19730388,Partai Katolik Demokrat,Partai
Q1511101,Partai Keadilan Sejahtera,Partai
Q13405290,Partai Keadilan dan Persatuan Indonesia,Partai
Q1257317,Partai Kebangkitan Bangsa,Partai
Q6026070,Partai Kebangkitan Dharma Indonesia,Partai
Q19730389,Partai Kebangkitan Muslim Indonesia,Partai
Q4262251,Partai Kebangkitan Nasional Ulama,Partai
Q115754699,Partai Kebangkitan Nusantara,Partai
Q19752369,Partai Kebangkitan Ummat,Partai
Q19727405,Partai Kebangsaan Merdeka,Partai
Q4261751,Partai Kedaulatan,Partai
Q13095791,Partai Kedaulatan Bangsa Indonesia Baru,Partai
Q131362324,Partai Kedaulatan Rakyat,Partai
Q116859755,Partai Kedaulatan Rakyat,Partai
Q66048989,Partai Kemerdekaan Indonesia Irian,Partai
Q157744,Partai Komunis Indonesia,Partai
Q5109516,Partai Kristen Demokrat,Partai
Q4200847,Partai Kristen Indonesia,Partai
Q64800069,Partai Kristen Indonesia 1945,Partai
Q19730390,Partai Kristen Nasional Indonesia,Partai
Q111721268,Partai Mahasiswa Indonesia,Partai
Q19728989,Partai Masyumi Baru,Partai
Q4261542,Partai Matahari Bangsa,Partai
Q1136182,Partai Merdeka,Partai
Q60679977,Partai Muslimin Indonesia,Partai
Q12503312,Partai Musyawarah Kekeluargaan Gotong Royong,Partai
Q19730391,Partai Nanggroe Aceh,Partai
Q4207219,Partai NasDem,Partai
Q19729635,Partai Nasional Bangsa Indonesia,Partai
Q4261024,Partai Nasional Benteng Kerakyatan Indonesia,Partai
Q19729636,Partai Nasional Demokrat,Partai
Q1965221,Partai Nasional Indonesia,Partai
Q19729637,Partai Nasional Indonesia - Front Marhaenis,Partai
Q12503313,Partai Nasional Indonesia - Massa Marhaen,Partai
Q4261536,Partai Nasional Indonesia Marhaenisme,Partai
Q4261517,Partai Patriot,Partai
Q6974869,Partai Peduli Rakyat Nasional,Partai
Q19730546,Partai Pekerja Indonesia,Partai
Q7196857,Partai Pelopor,Partai
Q4261361,Partai Pemuda Indonesia,Partai
Q4261342,Partai Penegak Demokrasi Indonesia,Partai
Q4261524,Partai Pengusaha dan Pekerja Indonesia,Partai
Q19730781,Partai Persatuan,Partai
Q7309185,Partai Persatuan Daerah,Partai
Q4208530,Partai Persatuan Dayak,Partai
Q19752495,Partai Persatuan Indonesia,Partai
Q4261054,Partai Persatuan Nahdlatul Ummah Indonesia,Partai
Q2669302,Partai Persatuan Pembangunan,Partai
Q6974119,Partai Persatuan Pembebasan Nasional,Partai
Q2054226,Partai Persatuan Tharikah Islam,Partai
Q131995022,Partai Perubahan (Indonesia),Partai
Q12503317,Partai Pilihan Rakyat,Partai
Q12503316,Partai Politik Islam Indonesia Masyumi,Partai
Q4204259,Partai Rakjat Sosialis,Partai
Q4673070,Partai Rakyat Aceh,Partai
Q107069517,Partai Rakyat Adil Makmur,Partai
Q3366441,Partai Rakyat Demokratik,Partai
Q12503318,Partai Rakyat Indonesia,Partai
Q4204294,Partai Rakyat Indonesia Merdeka,Partai
Q4314852,Partai Rakyat Nasional,Partai
Q19752635,Partai Republik,Partai
Q4261736,Partai Republika Nusantara,Partai
Q116311936,Partai SIRA,Partai
