kodeId:ID,nama,:LABEL
Q4763600,Anglo-Chinese School,Pendidikan
Q4806246,Asia-Pacific Center for Security Studies,Pendidikan
Q727675,Asian Institute of Technology,Pendidikan
Q1026836,California Miramar University,Pendidikan
Q1026939,"California State University, Northridge",Pendidikan
Q1033335,Canisius University,Pendidikan
Q1805085,Chapman University,Pendidikan
Q5108805,Christ Church Grammar School,Pendidikan
Q1091287,Chuo University,Pendidikan
Q762068,Clare Hall,Pendidikan
Q1095773,Clark University,Pendidikan
Q4036405,Collège du Léman,Pendidikan
Q5158784,Concord College,Pendidikan
Q5171560,Cornell University College of Agriculture and Life Sciences,Pendidikan
Q5184361,Crescent Girls' School,Pendidikan
Q1815710,De La Salle University,Pendidikan
Q5365245,Ellesmere College,Pendidikan
Q4793919,Georgia Southern University-Armstrong Campus,Pendidikan
Q1353139,Glasgow Caledonian University,Pendidikan
Q5568357,Glendale Community College,Pendidikan
Q1534879,Golden Gate University,Pendidikan
Q52637569,Hang Tuah University,Pendidikan
Q5658432,Harlandale High School,Pendidikan
Q5676556,Harvard T.H. Chan School of Public Health,Pendidikan
Q579611,Haverford College,Pendidikan
Q74433163,IKA STAIN Purwokerto,Pendidikan
Q5974512,ISS International School,Pendidikan
Q1209685,Ibaraki University,Pendidikan
Q6004629,Immanuel College,Pendidikan
Q97570581,Institut Ilmu Pemerintahan Jakarta,Pendidikan
Q97581736,Institut Islam Mamba'ul 'Ulum Surakarta,Pendidikan
Q108966439,Institute of Business Management Jayakarta,Pendidikan
Q1881864,Institute of Tropical Medicine Antwerp,Pendidikan
Q2811679,International Institute of Social Studies,Pendidikan
Q98713576,International School of Screen Acting,Pendidikan
Q1136919,Iowa State University,Pendidikan
Q97941611,Jakarta Merchant Marine Institute,Pendidikan
Q2687517,Jinan University,Pendidikan
Q682739,Johannes Kepler University Linz,Pendidikan
Q6367758,Karachi Grammar School,Pendidikan
Q833670,Katholieke Universiteit Leuven,Pendidikan
Q912329,Kindai University,Pendidikan
Q6514349,Lee Kuan Yew School of Public Policy,Pendidikan
Q6746666,Management Development Institute of Singapore,Pendidikan
Q613736,Metropolitan State University of Denver,Pendidikan
Q1568237,National University,Pendidikan
Q7010804,New Orleans University,Pendidikan
Q25066942,New Zealand School Jakarta,Pendidikan
Q890928,Newport University,Pendidikan
Q1132346,North Carolina State University,Pendidikan
Q3443498,Oklahoma City University,Pendidikan
Q7109265,Ottawa University,Pendidikan
Q1087492,Pacific Western University,Pendidikan
Q1352632,Paul H. Nitze School of Advanced International Studies,Pendidikan
Q7161482,Pelita Harapan School,Pendidikan
Q74433095,Pendidikan Guru Madrasah Ibtidaiyah (PGMI),Pendidikan
Q3418943,Ranger School,Pendidikan
Q98768248,SD Negeri Dukuhmulyo 2,Pendidikan
Q98202778,SD Negeri Karubaga,Pendidikan
Q98635243,SD Tarakanita 2,Pendidikan
Q98745782,SMA Kristen YPKPM Ambon,Pendidikan
Q97596489,SMP Budi Waluyo Jakarta,Pendidikan
Q98768246,SMP Negeri 1 Jakenan,Pendidikan
Q97596279,SMP Negeri 4 Karawang,Pendidikan
Q97577681,SMP Negeri 40 Jakarta,Pendidikan
Q97596258,SMP Negeri 5 Yogyakarta,Pendidikan
Q12708495,SMPN 168 Jakarta,Pendidikan
Q97621584,STIE Palangka Raya,Pendidikan
Q97577630,STIMA IMMI JAKARTA,Pendidikan
