politikus;kode_politikus
Q108889821;Q108889821
Q108891524;Q108891524
Q108892599;Q108892599
Q109438116;Q109438116
Q133097619;Q133097619
'Aisyah Aleena Maheswari Novinda;Q123883143
'Irfan Jauhari;Q123883920
A Basuki Babussalam;Q123714089
A Hafid Hasyim;Q123884661
A Hasanusi Dr;Q123873826
A Irwan Bola;Q123725985
A Malik;Q123897847
A Muhammadyah;Q123887049
A Muis;Q123885194
A Ogi Sos;Q123726045
A Parlindungan Damanik;Q123710173
A Sopyan Bhm;Q123878438
A Sugeng Ariyadi;Q123879835
A Taupik Hidayat;Q123726482
A Trys Nofandy;Q123873986
A'rif Rokhman;Q123868504
A. A. Ayu Laras Paramitha;Q123868923
A. A. Ayu Maha Indra Kemala Sanjaya;Q122809332
A. A. Ngurah Agung;Q123868695
A. Aan Nugraha;Q123892740
A. Abd. Waris Halid;Q123726078
A. Abdul Rasyid Kulle;Q123892185
A. Abu Zazid;Q123871631
A. Adrianti Latippa;Q123892236
A. Afif Amrus;Q123893613
A. Agung Satria Hermawan;Q123882022
A. Agung Suryadi;Q123892201
A. Amang Pawennari;Q123892580
A. Amar;Q123892339
A. Andriani Herdin;Q123894694
A. Anggorokresno Abiwangsa;Q123877275
A. Anwar Aksa;Q123892441
A. Ardiatma;Q123892484
A. Armal Al Hakam;Q123716372
A. Asriani;Q123892065
A. Ayu Andira;Q123892338
A. Ayu Regita C.;Q123877350
A. Azizah Irma Wahyudiyati;Q123892733
A. Azmi Shofix S.R;Q123873503
A. Baginda Muhammad Mahfuz H;Q123880297
A. Bahrul Amiq;Q123712480
A. Bambang Marsatriantoro;Q123882711
A. Burhanuddin. Hb;Q123874391
A. Cahyo Yudho Kuncoro;Q123883127
A. Chairil Anwar;Q123726074
A. Cholis Rowiyan;Q123867506
A. Christianto Ari Wibowo;Q123710617
A. Cut Muthia Ahmad M.;Q123868223
A. Dawud Budiyatno;Q123879866
A. Didi Abdul Hadi;Q123712094
A. Dimyati;Q123867507
A. Drajat Ahmad Putra;Q123867390
A. Dyah Ayu Widyana Ring Asmoro;Q123882888
A. Eva Faolia T. A;Q123891895
A. Fachruddin;Q123715527
A. Fahma Mikaila;Q123714328
A. Fahri Alamsyah;Q123884569
