kode_politikus;politikus;kode_pendidikan;pendidikan
Q109438116;Q109438116;Q12712165;Universitas Negeri Jakarta
Q132672443;Andi Ritamariani;Q478044;Universitas Hasanuddin
Q132672443;Andi Ritamariani;Q7603607;Universitas Negeri Makassar
Q120000583;Cok Budi Suryawan;Q1573634;Universitas Udayana
Q123871280;Donny Karsont;Q12523404;Universitas Muhammadiyah Sumatera Barat
Q123871280;Donny Karsont;Q123387776;SMA Negeri 1 Batipuh
Q104155065;Futri Zulya Savitri;Q127990;Universitas Nasional Australia
Q20450651;Leo Moggie Anak Irok;Q739627;Universitas Negeri Pennsylvania
Q20450651;Leo Moggie Anak Irok;Q1201513;Universitas Otago
Q20426337;A. Edwin Kawilarang;Q1579397;Institut Teknologi Bandung
Q12470452;A. Murady Darmansjah;Q1494353;Universitas Airlangga
Q12470452;A. Murady Darmansjah;Q104633597;Sekolah Tinggi Ilmu Administrasi Malang
Q16161966;A. Riski Sadig;Q350752;Universitas Islam Indonesia
Q16161966;A. Riski Sadig;Q12510693;SMA Negeri 7 Surakarta
Q17410528;A.M. Fatwa;Q12523349;Universitas Islam Negeri Syarif Hidayatullah Jakarta
Q56398834;AA Bagus Adhi Mahendra Putra;Q30294464;Universitas Mahendradatta
Q56398834;AA Bagus Adhi Mahendra Putra;Q108873634;Sekolah Menengah Atas PGRI 2 Denpasar
Q16162038;Aang Hamid Suganda;Q3213529;Universitas Pendidikan Indonesia
Q17410159;Abdi Sumaithi;Q12523348;Universitas Islam Negeri Sunan Kalijaga Yogyakarta
Q12470537;Abdillah Toha;Q1145992;Universitas Gadjah Mada
Q12470537;Abdillah Toha;Q1517021;Universitas Western Australia
Q12470537;Abdillah Toha;Q4806246;Asia-Pacific Center for Security Studies
Q12470537;Abdillah Toha;Q19752277;SMK Negeri 2 Surakarta
Q2978474;Abdoel Halim;Q534515;Universitas Indonesia
Q138501999;Abdul Azis Larekeng;Q478044;Universitas Hasanuddin
Q56415259;Abdul Aziz Qahhar Mudzakkar;Q478044;Universitas Hasanuddin
Q31173539;Abdul Fikri Faqih;Q4200627;Universitas Diponegoro
Q31173539;Abdul Fikri Faqih;Q4250919;Universitas Negeri Malang
Q12470547;Abdul Gafur;Q534515;Universitas Indonesia
Q16162222;Abdul Ghani Kasuba;Q1141959;Universitas Islam Madinah
Q110392401;Abdul Hadi;Q12486116;Universitas Islam Negeri Antasari
Q110392401;Abdul Hadi;Q12523340;Universitas Islam Kalimantan Muhammad Arsyad Al-Banjary
Q16162264;Abdul Hakim;Q6482697;Universitas Lampung
Q12470552;Abdul Hakim Garuda Nusantara;Q534515;Universitas Indonesia
Q72061441;Abdul Halim Iskandar;Q12523418;Universitas Negeri Yogyakarta
Q105162765;Abdul Hamid Mahmud;Q1579397;Institut Teknologi Bandung
Q105162765;Abdul Hamid Mahmud;Q10862512;Akademi Militer
