"wikidataURI","namaPartai","ideologi","namaIdeologi","tanggalBerdiri","abstrak"
,"Aceh Abode Party",,,,
,"Aceh Just and Prosperous Party",,,,
"http://www.wikidata.org/entity/Q4262048","Aceh Party",,,,
"http://www.wikidata.org/entity/Q4673070","Aceh People's Party",,,,
"http://www.wikidata.org/entity/Q4673073","Aceh Unity Party",,,,
"http://www.wikidata.org/entity/Q96372740","Atjeh Green Party",,,,
"http://www.wikidata.org/entity/Q31173603","Berkarya Party",,,,
"http://www.wikidata.org/entity/Q5158454","Concern for the Nation Functional Party",,,,
"http://www.wikidata.org/entity/Q2915024","Crescent Star Party (Indonesia)",,,,
,"Dayaks in politics",,,,
"http://www.wikidata.org/entity/Q1186227","Democratic Party (Indonesia)",,,,
,"Gabthat Party",,,,
"http://www.wikidata.org/entity/Q4261459","Gerindra Party",,,,
"http://www.wikidata.org/entity/Q1536552","Golkar",,,,
"http://www.wikidata.org/entity/Q12503304","Green Party of Indonesia",,,,
"http://www.wikidata.org/entity/Q4261356","Independent Voice of the Acehnese Party",,,,
"http://www.wikidata.org/entity/Q64800069","Indonesian Christian Party 1945","http://dbpedia.org/resource/Pancasila_(politics)","Pancasila (politics)",,
"http://www.wikidata.org/entity/Q1186306","Indonesian Democratic Party of Struggle",,,,
,"Indonesian Democratic Union Party",,,,
"http://www.wikidata.org/entity/Q4261342","Indonesian Democratic Vanguard Party",,,,
,"Indonesian Dharma Awakening Party",,,,
"http://www.wikidata.org/entity/Q13405290","Indonesian Justice and Unity Party",,,,
"http://www.wikidata.org/entity/Q4261054","Indonesian Nahdlatul Community Party",,,,
,"Indonesian National Party – Marhaen Masses","http://dbpedia.org/resource/Marhaenism","Marhaenism",,
,"Indonesian National Party – Marhaen Masses","http://dbpedia.org/resource/Pancasila_(politics)","Pancasila (politics)",,
,"Indonesian National Party – Marhaenist Front","http://dbpedia.org/resource/Marhaenism","Marhaenism",,
,"Indonesian National Party – Marhaenist Front","http://dbpedia.org/resource/Pancasila_(politics)","Pancasila (politics)",,
"http://www.wikidata.org/entity/Q4261536","Indonesian National Party Marhaenism",,,,
,"Indonesian National Christian Party",,,,
"http://www.wikidata.org/entity/Q23744654","Indonesian Solidarity Party",,,,
,"Indonesian Students Party",,,,
"http://www.wikidata.org/entity/Q4261029","Indonesian Unity Party",,,,
"http://www.wikidata.org/entity/Q4261524","Indonesian Workers and Employers Party",,,,
"http://www.wikidata.org/entity/Q4261361","Indonesian Youth Party",,,,
"http://www.wikidata.org/entity/Q107069517","Just and Prosperous People's Party",,,,
"http://www.wikidata.org/entity/Q108940356","Labour Party (Indonesia, 2021)",,,,
"http://www.wikidata.org/entity/Q5255884","List of political parties in Indonesia",,,,
"http://www.wikidata.org/entity/Q19730391","Nanggroe Aceh Party",,,,
,"NasDem Party",,,,
"http://www.wikidata.org/entity/Q4261758","National Front Party (Indonesia)",,,,
"http://www.wikidata.org/entity/Q6974119","National Liberation Party of Unity",,,,
"http://www.wikidata.org/entity/Q2434365","National Mandate Party",,,,
"http://www.wikidata.org/entity/Q6974869","National People's Concern Party",,,,
"http://www.wikidata.org/entity/Q13095791","New Indonesia National Sovereignty Party",,,,
,"Nusantara Awakening Party",,,,
"http://www.wikidata.org/entity/Q19730387","Partindo","http://dbpedia.org/resource/Nationalism","Nationalism",,
,"Party of Change",,,,
"http://www.wikidata.org/entity/Q4261517","Patriot Party (Indonesia)",,,,
"http://www.wikidata.org/entity/Q22344823","Peace and Safe Islamic Party",,,,
"http://www.wikidata.org/entity/Q4262041","People's Conscience Party",,,,
,"People's Sovereignty Party",,,,
"http://www.wikidata.org/entity/Q19752495","Perindo Party",,,,
"http://www.wikidata.org/entity/Q4261364","Prosperous Indonesia Party",,,,
"http://www.wikidata.org/entity/Q1511101","Prosperous Justice Party",,,,
"http://www.wikidata.org/entity/Q7250923","Prosperous Peace Party","http://dbpedia.org/resource/Pancasila_(politics)","Pancasila (politics)",,
"http://www.wikidata.org/entity/Q4261063","Prosperous and Safe Aceh Party",,,,
"http://www.wikidata.org/entity/Q4261778","Reform Star Party","http://dbpedia.org/resource/Islamism","Islamism",,
"http://www.wikidata.org/entity/Q7309185","Regional Unity Party",,,,
,"Republican Party (Indonesia)",,,,
,"SIRA Party",,,,
,"Serindo","http://dbpedia.org/resource/Indonesian_nationalism","Indonesian nationalism",,
,"Ummah Party",,,,
"http://www.wikidata.org/entity/Q12503319","Union of Independent People",,,,
"http://www.wikidata.org/entity/Q2669302","United Development Party",,,,
"http://www.wikidata.org/entity/Q4204285","Village People's Union",,,,
