"wikidataURI","namaUniversitas","tanggalBerdiri","jumlahMahasiswa","kota","abstrak"
"http://www.wikidata.org/entity/Q1494353","Airlangga University",,35985,"Surabaya",
"http://www.wikidata.org/entity/Q12522872","Alauddin Islamic State University",,,"Gowa Regency",
"http://www.wikidata.org/entity/Q12522872","Alauddin Islamic State University",,,"Makassar",
"http://www.wikidata.org/entity/Q280361","Andalas University",,32000,"Padang",
"http://www.wikidata.org/entity/Q30632611","Ar-Raniry State Islamic University",,25,"Banda Aceh",
"http://www.wikidata.org/entity/Q4797596","Artha Wacana Christian University",,,"Kupang",
"http://www.wikidata.org/entity/Q2308020","Atma Jaya Catholic University of Indonesia",,12238,"Jakarta metropolitan area",
"http://www.wikidata.org/entity/Q14457713","Atma Jaya University, Yogyakarta",,11106,"Sleman",
"http://www.wikidata.org/entity/Q3267815","BINUS University",,,"Jakarta",
"http://www.wikidata.org/entity/Q12523295","Bakrie University",,,"Jakarta",
"http://www.wikidata.org/entity/Q1579397","Bandung Institute of Technology",,27436,"Bandung",
"http://www.wikidata.org/entity/Q4854741","Bandung Islamic University",,12,"Bandung",
"http://www.wikidata.org/entity/Q4946088","Borneo Tarakan University",,,"Tarakan",
,"Brawijaya University",,47469,"Malang",
"http://www.wikidata.org/entity/Q7894412","Christian University of Indonesia",,,"Jakarta",
"http://www.wikidata.org/entity/Q81665993","Christian University of Palangka Raya",,,"Palangka Raya",
"http://www.wikidata.org/entity/Q30634719","College of Health Sciences General Achmad Yani Yogyakarta",,,"Sleman",
"http://www.wikidata.org/entity/Q19744796","De La Salle Catholic University Manado",,,"Manado",
"http://www.wikidata.org/entity/Q4200627","Diponegoro University",,55743,"Semarang",
"http://www.wikidata.org/entity/Q5317233","Duta Wacana Christian University",,,"Yogyakarta",
"http://www.wikidata.org/entity/Q5358247","Electronic Engineering Polytechnic Institute of Surabaya",,5051,"Surabaya",
"http://www.wikidata.org/entity/Q12523323","Esa Unggul University",,14275,"West Jakarta",
"http://www.wikidata.org/entity/Q12523323","Esa Unggul University",,14275,"Jakarta",
"http://www.wikidata.org/entity/Q12523323","Esa Unggul University",,14275,"Kebon Jeruk",
"http://www.wikidata.org/entity/Q1145992","Gadjah Mada University",,56110,"Sleman Regency",
"http://www.wikidata.org/entity/Q5520863","Ganesha University of Education",,,"Singaraja",
"http://www.wikidata.org/entity/Q21074467","Geophysical Engineering Department of Unila",,,"Bandar Lampung",
,"Gunadarma University",,,"West Java",
,"Gunadarma University",,,"Depok",
"http://www.wikidata.org/entity/Q5643706","Haluoleo University",,,"Kendari",
"http://www.wikidata.org/entity/Q19726582","Harapan Bangsa Institute of Technology",,,"Bandung",
"http://www.wikidata.org/entity/Q478044","Hasanuddin University",,,"Makassar",
