"wikidataURI","nama","tanggalLahir","tempatLahir","abstrak"
"http://www.wikidata.org/entity/Q12470538","Abdoel Hakim",,"Dutch East Indies",
"http://www.wikidata.org/entity/Q12470538","Abdoel Hakim",,"Tapanuli Residency",
"http://www.wikidata.org/entity/Q12470538","Abdoel Hakim",,"Padang",
"http://www.wikidata.org/entity/Q12470538","Abdoel Hakim",,"Tapanoeli Residency",
"http://www.wikidata.org/entity/Q4665497","Abdul Latief",1940-04-27,"Aceh",
"http://www.wikidata.org/entity/Q4665497","Abdul Latief",1940-04-27,"Banda Aceh",
"http://www.wikidata.org/entity/Q4665497","Abdul Latief",1940-04-27,"Dutch East Indies",
,"Achmad Amins",1947-07-03,"West Sulawesi",
"http://www.wikidata.org/entity/Q3498269","Agus Martowardojo",1956-01-24,"Amsterdam",
"http://www.wikidata.org/entity/Q3498269","Agus Martowardojo",1956-01-24,"Netherlands",
"http://www.wikidata.org/entity/Q12470972","Ahmad Syaikhu",1965-01-23,"Indonesia",
"http://www.wikidata.org/entity/Q12470972","Ahmad Syaikhu",1965-01-23,"Cirebon Regency",
"http://www.wikidata.org/entity/Q12470956","Ahmed Husein",1925-04-01,"Padang",
"http://www.wikidata.org/entity/Q12470956","Ahmed Husein",1925-04-01,"West Sumatra",
"http://www.wikidata.org/entity/Q12470956","Ahmed Husein",1925-04-01,"Dutch East Indies",
"http://www.wikidata.org/entity/Q19752868","Amran Sulaiman",1968-04-27,"South Sulawesi",
"http://www.wikidata.org/entity/Q19752868","Amran Sulaiman",1968-04-27,"Bone Regency",
"http://www.wikidata.org/entity/Q4647481","Anak Agung Ngurah Oka Ratmadi",1945-11-02,"Indonesia",
"http://www.wikidata.org/entity/Q4647481","Anak Agung Ngurah Oka Ratmadi",1945-11-02,"Bali (island)",
"http://www.wikidata.org/entity/Q4647481","Anak Agung Ngurah Oka Ratmadi",1945-11-02,"Bali",
"http://www.wikidata.org/entity/Q4647481","Anak Agung Ngurah Oka Ratmadi",1945-11-02,"Denpasar",
"http://www.wikidata.org/entity/Q16167068","Andika Hazrumy",1985-12-16,"West Java",
"http://www.wikidata.org/entity/Q16167068","Andika Hazrumy",1985-12-16,"Bandung",
"http://www.wikidata.org/entity/Q4259192","Armida Alisjahbana",1960-08-16,"Indonesia",
"http://www.wikidata.org/entity/Q4259192","Armida Alisjahbana",1960-08-16,"Jakarta",
"http://www.wikidata.org/entity/Q12275484","Bagindo Azizchan",1910-09-30,"Padang",
"http://www.wikidata.org/entity/Q12275484","Bagindo Azizchan",1910-09-30,"West Sumatra",
"http://www.wikidata.org/entity/Q12275484","Bagindo Azizchan",1910-09-30,"Dutch East Indies",
,"Bahal Raja Tua Tambunan",1974-02-23,"Indonesia",
,"Bahal Raja Tua Tambunan",1974-02-23,"North Sumatra",
,"Bahal Raja Tua Tambunan",1974-02-23,"Sidikalang",
"http://www.wikidata.org/entity/Q12475663","Ben Mboi",1935-05-22,"Dutch East Indies",
"http://www.wikidata.org/entity/Q12475663","Ben Mboi",1935-05-22,"Flores",
"http://www.wikidata.org/entity/Q12475663","Ben Mboi",1935-05-22,"Ruteng",
,"Budi Sulistiyo",1966-11-30,"Indonesia",
,"Budi Sulistiyo",1966-11-30,"Central Java",
,"Chatib Basri",1965-08-22,"Indonesia",
,"Chatib Basri",1965-08-22,"Jakarta",
"http://www.wikidata.org/entity/Q12478651","Christiandy Sanjaya",1964-03-29,"Indonesia",
"http://www.wikidata.org/entity/Q12478651","Christiandy Sanjaya",1964-03-29,"Singkawang",
"http://www.wikidata.org/entity/Q12478651","Christiandy Sanjaya",1964-03-29,"West Kalimantan",
,"Dahlan Jamaluddin",1980-08-26,"Aceh",
"http://www.wikidata.org/entity/Q12481562","Dino Patti Djalal",1965-09-10,"Belgrade",
"http://www.wikidata.org/entity/Q12481562","Dino Patti Djalal",1965-09-10,"Yugoslavia",
