:START_ID,:END_ID,:TYPE
Q109438116,Q12712165,ALUMNI
Q132672443,Q478044,ALUMNI
Q132672443,Q7603607,ALUMNI
Q120000583,Q1573634,ALUMNI
Q123871280,Q12523404,ALUMNI
Q123871280,Q123387776,ALUMNI
Q104155065,Q127990,ALUMNI
Q20450651,Q739627,ALUMNI
Q20450651,Q1201513,ALUMNI
Q20426337,Q1579397,ALUMNI
Q12470452,Q1494353,ALUMNI
Q12470452,Q104633597,ALUMNI
Q16161966,Q350752,ALUMNI
Q16161966,Q12510693,ALUMNI
Q17410528,Q12523349,ALUMNI
Q56398834,Q30294464,ALUMNI
Q56398834,Q108873634,ALUMNI
Q16162038,Q3213529,ALUMNI
Q17410159,Q12523348,ALUMNI
Q12470537,Q1145992,ALUMNI
Q12470537,Q1517021,ALUMNI
Q12470537,Q4806246,ALUMNI
Q12470537,Q19752277,ALUMNI
Q2978474,Q534515,ALUMNI
Q138501999,Q478044,ALUMNI
Q56415259,Q478044,ALUMNI
Q31173539,Q4200627,ALUMNI
Q31173539,Q4250919,ALUMNI
Q12470547,Q534515,ALUMNI
Q16162222,Q1141959,ALUMNI
Q110392401,Q12486116,ALUMNI
Q110392401,Q12523340,ALUMNI
Q16162264,Q6482697,ALUMNI
Q12470552,Q534515,ALUMNI
Q72061441,Q12523418,ALUMNI
Q105162765,Q1579397,ALUMNI
Q105162765,Q10862512,ALUMNI
Q105162765,Q19734587,ALUMNI
Q120221118,Q12523347,ALUMNI
Q317291,Q58667835,ALUMNI
Q16162333,Q4200627,ALUMNI
Q16162333,Q56399689,ALUMNI
Q133806589,Q1145992,ALUMNI
Q31173938,Q7442749,ALUMNI
Q97590564,Q727675,ALUMNI
Q97590564,Q1579397,ALUMNI
Q1401053,Q1890262,ALUMNI
Q1401053,Q1934491,ALUMNI
Q16162401,Q3130435,ALUMNI
Q25471318,Q7603634,ALUMNI
Q95971823,Q109911108,ALUMNI
Q109439669,Q19752735,ALUMNI
Q16162516,Q4200341,ALUMNI
Q16162532,Q12486116,ALUMNI
Q120221128,Q12522871,ALUMNI
Q16162595,Q534515,ALUMNI
Q108203510,Q1145992,ALUMNI
Q17410338,Q31173528,ALUMNI
Q85988352,Q350752,ALUMNI
Q136386195,Q173959,ALUMNI
Q136386195,Q12522872,ALUMNI
Q55766298,Q18206727,ALUMNI
Q85988365,Q10862378,ALUMNI
Q76167,Q173959,ALUMNI
Q76167,Q550376,ALUMNI
Q76167,Q6367758,ALUMNI
Q96988040,Q534515,ALUMNI
Q96988040,Q12523378,ALUMNI
Q96988040,Q19749142,ALUMNI
Q96988040,Q97572684,ALUMNI
Q16162741,Q67179864,ALUMNI
Q10860431,Q10862512,ALUMNI
Q12470619,Q19744804,ALUMNI
Q12470623,Q1934491,ALUMNI
Q336042,Q1579397,ALUMNI
Q93426301,Q534515,ALUMNI
Q93426301,Q3181122,ALUMNI
Q93426301,Q12523349,ALUMNI
Q85988388,Q12523326,ALUMNI
Q85988388,Q19744837,ALUMNI
Q4252037,Q534515,ALUMNI
Q109433203,Q350752,ALUMNI
Q56391800,Q12523348,ALUMNI
Q17410841,Q534515,ALUMNI
Q17410841,Q3181122,ALUMNI
Q17410841,Q7476068,ALUMNI
Q17410841,Q12523323,ALUMNI
Q17410342,Q1896627,ALUMNI
Q97590829,Q4200297,ALUMNI
Q97590826,Q12523331,ALUMNI
Q97590826,Q12523337,ALUMNI
Q96989460,Q1847733,ALUMNI
Q96989460,Q14091635,ALUMNI
Q96989460,Q97572689,ALUMNI
Q109564146,Q1145992,ALUMNI
Q109564146,Q3130435,ALUMNI
Q109564146,Q3181122,ALUMNI
Q16162990,Q1579397,ALUMNI
Q25468621,Q12523349,ALUMNI
Q97590834,Q3181122,ALUMNI
Q97590834,Q6177417,ALUMNI
Q97590834,Q16877900,ALUMNI
Q12470650,Q534515,ALUMNI
Q12470650,Q12523337,ALUMNI
Q12470650,Q12523428,ALUMNI
Q65207954,Q534515,ALUMNI
Q4250968,Q156598,ALUMNI
Q109725208,Q10862512,ALUMNI
Q65203641,Q17997867,ALUMNI
Q12470687,Q7391096,ALUMNI
Q12470687,Q17997867,ALUMNI
Q12470686,Q10862512,ALUMNI
Q49254213,Q3181122,ALUMNI
Q49254213,Q7697348,ALUMNI
Q85988433,Q1847733,ALUMNI
Q85988433,Q12523352,ALUMNI
Q16163236,Q534515,ALUMNI
Q16163236,Q861548,ALUMNI
Q18421322,Q3181122,ALUMNI
Q18421322,Q12523349,ALUMNI
Q18421322,Q14091635,ALUMNI
Q123152749,Q12523349,ALUMNI
Q19723696,Q4250926,ALUMNI
Q19723696,Q12510488,ALUMNI
Q19723696,Q28725246,ALUMNI
Q56161334,Q19744776,ALUMNI
Q4682572,Q534515,ALUMNI
Q4682572,Q2306715,ALUMNI
Q4682572,Q4250926,ALUMNI
Q101089316,Q6933777,ALUMNI
Q17410348,Q280361,ALUMNI
Q17410348,Q12510277,ALUMNI
Q17410348,Q12523443,ALUMNI
Q109563755,Q350752,ALUMNI
Q20426350,Q7894412,ALUMNI
Q96988409,Q12523483,ALUMNI
Q25466191,Q7603634,ALUMNI
Q17410351,Q170027,ALUMNI
Q17410351,Q7589481,ALUMNI
Q97590738,Q7408055,ALUMNI
Q97590738,Q28950058,ALUMNI
Q104830804,Q7686944,ALUMNI
Q16163503,Q1896627,ALUMNI
Q16163503,Q12482738,ALUMNI
Q49252248,Q534515,ALUMNI
Q49252248,Q1824905,ALUMNI
Q61119098,Q12523345,ALUMNI
Q109438122,Q4200341,ALUMNI
Q65212430,Q478044,ALUMNI
Q123523263,Q7408055,ALUMNI
Q123523263,Q19734802,ALUMNI
Q123523263,Q19740092,ALUMNI
Q16163751,Q1579397,ALUMNI
Q12470878,Q1145992,ALUMNI
Q108889808,Q12486653,ALUMNI
Q97590735,Q19734760,ALUMNI
Q97590735,Q97621584,ALUMNI
Q97590735,Q97621591,ALUMNI
Q123725984,Q3181122,ALUMNI
Q16163953,Q1145992,ALUMNI
Q4694586,Q4745400,ALUMNI
Q123346501,Q534515,ALUMNI
Q123346501,Q97572810,ALUMNI
Q65209531,Q4200627,ALUMNI
Q96989539,Q12510646,ALUMNI
Q96989539,Q12511120,ALUMNI
Q96989539,Q12511291,ALUMNI
Q96989539,Q13098259,ALUMNI
Q25466087,Q19751985,ALUMNI
Q2581141,Q7894412,ALUMNI
Q12470928,Q6177417,ALUMNI
Q12470928,Q12510274,ALUMNI
Q16164136,Q350752,ALUMNI
Q110103165,Q7442749,ALUMNI
Q12470931,Q1026836,ALUMNI
Q12470931,Q1087492,ALUMNI
Q12470931,Q3181122,ALUMNI
Q12470931,Q7476068,ALUMNI
Q12470931,Q8022149,ALUMNI
Q7805962,Q13371,ALUMNI
Q7805962,Q1465303,ALUMNI
Q7805962,Q7686944,ALUMNI
Q17410358,Q1336952,ALUMNI
Q17410358,Q12486653,ALUMNI
Q17410358,Q12511291,ALUMNI
Q25468507,Q3181122,ALUMNI
Q3498269,Q534515,ALUMNI
Q12470932,Q2306715,ALUMNI
Q19942252,Q17997867,ALUMNI
Q61119292,Q12471192,ALUMNI
Q19723758,Q10862512,ALUMNI
Q16164293,Q534515,ALUMNI
Q16164293,Q12523482,ALUMNI
Q72087658,Q7894418,ALUMNI
Q19723760,Q12523322,ALUMNI
Q10860255,Q7894412,ALUMNI
Q96988001,Q4200627,ALUMNI
Q96988001,Q12523351,ALUMNI
Q96988001,Q19739973,ALUMNI
Q61118691,Q7896000,ALUMNI
Q96989072,Q12523473,ALUMNI
Q18421250,Q534515,ALUMNI
Q18421250,Q4200627,ALUMNI
Q18421250,Q7894412,ALUMNI
Q18421250,Q12486647,ALUMNI
Q18421250,Q12510549,ALUMNI
Q18421250,Q12523282,ALUMNI
Q18421250,Q12708495,ALUMNI
Q18421250,Q20460957,ALUMNI
Q137896159,Q1145992,ALUMNI
Q49255433,Q1579397,ALUMNI
Q49255433,Q3181122,ALUMNI
Q49255433,Q12510348,ALUMNI
Q49255433,Q19739892,ALUMNI
Q132671021,Q1145992,ALUMNI
Q132671021,Q12510277,ALUMNI
Q132671021,Q121127078,ALUMNI
Q132671021,Q123774044,ALUMNI
Q16164615,Q1145992,ALUMNI
Q3745,Q10862378,ALUMNI
Q56398855,Q6482697,ALUMNI
Q12470959,Q7481592,ALUMNI
Q97308072,Q1494353,ALUMNI
Q16164694,Q1145992,ALUMNI
Q18421363,Q12523329,ALUMNI
Q96989473,Q25466592,ALUMNI
Q56511458,Q478044,ALUMNI
Q56511458,Q534515,ALUMNI
Q56511458,Q12510611,ALUMNI
Q12470965,Q1579397,ALUMNI
Q12470965,Q12486653,ALUMNI
Q16164725,Q12510187,ALUMNI
Q16164725,Q97572828,ALUMNI
Q16164725,Q125034542,ALUMNI
Q12470972,Q6026203,ALUMNI
Q4187362,Q6177417,ALUMNI
Q96989498,Q12523348,ALUMNI
Q65207982,Q12523349,ALUMNI
Q16164839,Q10862378,ALUMNI
Q16164901,Q7894412,ALUMNI
Q4200190,Q12523423,ALUMNI
Q16164986,Q534515,ALUMNI
Q16165013,Q3181122,ALUMNI
Q12471140,Q319078,ALUMNI
Q12471140,Q598841,ALUMNI
Q12471140,Q1145992,ALUMNI
Q12471148,Q350752,ALUMNI
Q12471148,Q12481560,ALUMNI
Q12471148,Q12523418,ALUMNI
Q16176699,Q7603607,ALUMNI
Q2581168,Q534515,ALUMNI
Q2581168,Q1824905,ALUMNI
Q2581168,Q12504954,ALUMNI
Q17410363,Q4200627,ALUMNI
Q25469243,Q4200341,ALUMNI
Q17410364,Q478044,ALUMNI
Q17997939,Q534515,ALUMNI
Q61119223,Q12523408,ALUMNI
Q61119223,Q123395170,ALUMNI
Q16165599,Q4200627,ALUMNI
Q12471431,Q534515,ALUMNI
Q12471431,Q12523355,ALUMNI
Q17410367,Q1579397,ALUMNI
Q12471444,Q12523487,ALUMNI
Q19723853,Q12523322,ALUMNI
Q19723853,Q12523440,ALUMNI
Q19723853,Q19734560,ALUMNI
Q19723853,Q101259110,ALUMNI
Q19723853,Q109330029,ALUMNI
Q4717563,Q2308020,ALUMNI
Q4717563,Q4250926,ALUMNI
Q4717563,Q57947176,ALUMNI
Q12682432,Q156598,ALUMNI
Q20278341,Q7896071,ALUMNI
Q85988606,Q19751985,ALUMNI
Q97590588,Q534515,ALUMNI
Q108895248,Q17997867,ALUMNI
Q96987310,Q12523344,ALUMNI
Q957483,Q534515,ALUMNI
Q50827553,Q12506153,ALUMNI
Q50827553,Q12523349,ALUMNI
Q40168296,Q478044,ALUMNI
Q109563968,Q19745903,ALUMNI
Q12471487,Q534515,ALUMNI
Q12471487,Q1145992,ALUMNI
Q12471486,Q534515,ALUMNI
Q12471489,Q4200627,ALUMNI
Q16166068,Q7603634,ALUMNI
Q16166068,Q12486667,ALUMNI
Q2669326,Q156598,ALUMNI
Q96989495,Q3181122,ALUMNI
Q96989495,Q7686915,ALUMNI
Q96989495,Q12523390,ALUMNI
Q17997991,Q4200341,ALUMNI
Q17997991,Q12523313,ALUMNI
Q17997991,Q64828459,ALUMNI
Q17997991,Q97572803,ALUMNI
Q13091528,Q168756,ALUMNI
Q13091528,Q534515,ALUMNI
Q17997992,Q280361,ALUMNI
Q96987623,Q12486647,ALUMNI
Q96988727,Q12523290,ALUMNI
Q17410558,Q4200297,ALUMNI
Q16162627,Q1579397,ALUMNI
Q16162627,Q6482697,ALUMNI
Q12471516,Q12523322,ALUMNI
Q12471516,Q12523366,ALUMNI
Q12471516,Q97596283,ALUMNI
Q16166149,Q280361,ALUMNI
