:START_ID,:END_ID,tipe,:TYPE
Q123871630,Q124792512,SPOUSE,KERABAT
Q123870780,Q19725610,PARENT,KERABAT
Q123871450,Q124199724,PARENT,KERABAT
Q123869229,Q130215897,CHILD,KERABAT
Q100594513,Q85992977,SPOUSE,KERABAT
Q100594513,Q7531876,PARENT,KERABAT
Q123872860,Q111312738,CHILD,KERABAT
Q123871108,Q124286577,PARENT,KERABAT
Q123871108,Q124295447,SIBLING,KERABAT
Q123871108,Q124295449,SIBLING,KERABAT
Q123871108,Q124295471,SIBLING,KERABAT
Q123871108,Q124295476,SIBLING,KERABAT
Q123871108,Q124295487,SIBLING,KERABAT
Q123871108,Q124295490,SIBLING,KERABAT
Q123871108,Q124295502,SIBLING,KERABAT
Q123871108,Q12473332,PARENT,KERABAT
Q120579456,Q120579640,CHILD,KERABAT
Q120579456,Q120579647,CHILD,KERABAT
Q97670139,Q97670113,PARENT,KERABAT
Q123877941,Q112730643,CHILD,KERABAT
Q123896134,Q65211883,PARENT,KERABAT
Q123699662,Q120203387,CHILD,KERABAT
Q123871426,Q109437739,PARENT,KERABAT
Q97670151,Q97670113,PARENT,KERABAT
Q123870589,Q126485497,CHILD,KERABAT
Q123710024,Q123924554,SPOUSE,KERABAT
Q123709739,Q130215897,CHILD,KERABAT
Q123871351,Q25469360,PARENT,KERABAT
Q123714980,Q25468221,PARENT,KERABAT
Q12470452,Q124313241,SPOUSE,KERABAT
Q2978474,Q123900419,PARENT,KERABAT
Q2978474,Q123900439,PARENT,KERABAT
Q115284122,Q109439936,SIBLING,KERABAT
Q17410163,Q123907526,SPOUSE,KERABAT
Q17410163,Q2670449,CHILD,KERABAT
Q61118413,Q111596749,PARENT,KERABAT
Q16162222,Q65211883,SIBLING,KERABAT
Q72061441,Q106589401,PARENT,KERABAT
Q72061441,Q106589402,PARENT,KERABAT
Q317291,Q123474068,SPOUSE,KERABAT
Q127868910,Q109430879,CHILD,KERABAT
Q127868910,Q109438625,CHILD,KERABAT
Q109433966,Q19742786,SPOUSE,KERABAT
Q109433966,Q134527526,PARENT,KERABAT
Q109433966,Q134527527,PARENT,KERABAT
Q109433966,Q134527517,SIBLING,KERABAT
Q1401053,Q112620857,CHILD,KERABAT
Q1401053,Q112623490,CHILD,KERABAT
Q1401053,Q112623619,CHILD,KERABAT
Q1401053,Q130341424,SIBLING,KERABAT
Q1401053,Q112620267,PARENT,KERABAT
Q1401053,Q112620591,PARENT,KERABAT
Q1401053,Q112620858,SPOUSE,KERABAT
Q25471318,Q123914190,SPOUSE,KERABAT
Q25471318,Q123914198,PARENT,KERABAT
Q95971823,Q23009991,SPOUSE,KERABAT
Q120714282,Q120774118,SPOUSE,KERABAT
Q120714282,Q120798610,SPOUSE,KERABAT
Q120714282,Q120726682,PARENT,KERABAT
Q120714282,Q120774143,CHILD,KERABAT
Q120714282,Q120726684,PARENT,KERABAT
