:START_ID,:END_ID,tipe,:TYPE
Q123871450,Q20278570,PARENT,KERABAT
Q123870732,Q19723853,SIBLING,KERABAT
Q123714976,Q123871338,SIBLING,KERABAT
Q123869229,Q123709739,SPOUSE,KERABAT
Q123895929,Q61119223,PARENT,KERABAT
Q123895929,Q109861362,PARENT,KERABAT
Q123712582,Q17411443,SPOUSE,KERABAT
Q123879721,Q16182795,SIBLING,KERABAT
Q123879721,Q17410890,SIBLING,KERABAT
Q123869922,Q109435954,SIBLING,KERABAT
Q123869922,Q123714732,SIBLING,KERABAT
Q123869922,Q25464531,PARENT,KERABAT
Q123877445,Q12524985,PARENT,KERABAT
Q123871108,Q124295482,SIBLING,KERABAT
Q123883012,Q12522317,PARENT,KERABAT
Q104155065,Q16164694,SPOUSE,KERABAT
Q104155065,Q4260406,PARENT,KERABAT
Q118881094,Q12470931,SIBLING,KERABAT
Q98635249,Q19731920,SPOUSE,KERABAT
Q123715122,Q109432805,PARENT,KERABAT
Q123870790,Q123726249,SPOUSE,KERABAT
Q97670139,Q10860301,PARENT,KERABAT
Q123713415,Q28724425,SPOUSE,KERABAT
Q123715089,Q109436275,SPOUSE,KERABAT
Q123896134,Q112897382,SIBLING,KERABAT
Q123896134,Q123716921,SIBLING,KERABAT
Q123871338,Q123714976,SIBLING,KERABAT
Q126371609,Q12470972,PARENT,KERABAT
Q123716910,Q16162222,PARENT,KERABAT
Q123716910,Q123895787,SIBLING,KERABAT
Q123895787,Q123716910,SIBLING,KERABAT
Q123895787,Q16162222,PARENT,KERABAT
Q123887063,Q61118739,SPOUSE,KERABAT
Q97670151,Q10860301,PARENT,KERABAT
Q123872168,Q120221128,SIBLING,KERABAT
Q123865841,Q4833145,PARENT,KERABAT
Q123870589,Q61118532,SPOUSE,KERABAT
Q123709739,Q123869229,SPOUSE,KERABAT
Q123871039,Q25463204,SPOUSE,KERABAT
Q123726249,Q123870790,SPOUSE,KERABAT
Q97704943,Q123219197,CHILD,KERABAT
Q123726148,Q123290568,PARENT,KERABAT
Q61118413,Q25469565,SIBLING,KERABAT
Q16162222,Q123716910,CHILD,KERABAT
Q16162222,Q123895787,CHILD,KERABAT
Q109724917,Q123305348,SPOUSE,KERABAT
Q72061441,Q12499327,SIBLING,KERABAT
Q120221128,Q123872168,SIBLING,KERABAT
Q85988352,Q97590775,CHILD,KERABAT
Q55766298,Q2840640,CHILD,KERABAT
Q55766298,Q56511458,CHILD,KERABAT
Q55766298,Q56524376,CHILD,KERABAT
Q76167,Q4264061,SPOUSE,KERABAT
Q76167,Q3572174,CHILD,KERABAT
Q76167,Q12511575,SIBLING,KERABAT
Q76167,Q16188244,SIBLING,KERABAT
Q76167,Q981398,PARENT,KERABAT
Q17410841,Q25469477,SPOUSE,KERABAT
Q17410841,Q93388029,CHILD,KERABAT
Q85988433,Q16167068,SPOUSE,KERABAT
Q18421322,Q96988370,CHILD,KERABAT
Q123152749,Q25466277,PARENT,KERABAT
Q56161334,Q19752642,SIBLING,KERABAT
Q104830804,Q12485056,PARENT,KERABAT
Q4683174,Q6107468,SPOUSE,KERABAT
Q4683174,Q13091583,SPOUSE,KERABAT
Q96988709,Q16172501,PARENT,KERABAT
Q16163751,Q19725425,SIBLING,KERABAT
Q109437117,Q123712125,SIBLING,KERABAT
Q2581141,Q96988377,CHILD,KERABAT
Q12470931,Q5562954,PARENT,KERABAT
Q12470931,Q118881094,SIBLING,KERABAT
Q7805962,Q4200758,PARENT,KERABAT
Q7805962,Q7806029,SIBLING,KERABAT
Q7805962,Q57405,PARENT,KERABAT
Q4695305,Q16164465,CHILD,KERABAT
Q4695305,Q16164536,CHILD,KERABAT
Q4695305,Q3234938,SPOUSE,KERABAT
Q16164536,Q4695305,PARENT,KERABAT
Q16164536,Q16164465,SIBLING,KERABAT
Q132671021,Q12516588,PARENT,KERABAT
Q16164694,Q104155065,SPOUSE,KERABAT
Q16164694,Q124160461,SPOUSE,KERABAT
Q56511458,Q2840640,SIBLING,KERABAT
Q56511458,Q56524376,SIBLING,KERABAT
Q56511458,Q55766298,PARENT,KERABAT
Q25468529,Q109431878,CHILD,KERABAT
Q12470962,Q107563597,SIBLING,KERABAT
Q12470972,Q126371609,CHILD,KERABAT
Q16164943,Q12486822,PARENT,KERABAT
Q12471140,Q12485357,PARENT,KERABAT
