kodeId:ID,nama,:LABEL
Q124792512,S. F. Hariyanto,Person
Q19725610,Endre Saifoel,Person
Q124199724,Pelita Handayani,Person
Q130215897,Grease Melia Putri Santoso Purba,Person
Q85992977,Muhammad Ali Reza,Person
Q7531876,Tutut Soeharto,Person
Q111312738,Indah Cahya Nabilla,Person
Q124286577,Harlina Syahputri,Person
Q124295447,Maiko Candra,Person
Q124295449,Meutya Vera Marleni,Person
Q124295471,Ivo Nila Kurcanti,Person
Q124295476,Dessy Harmila Sari,Person
Q124295487,Decky Harmiko Saputra,Person
Q124295490,Puji Suci Kurniasih,Person
Q124295502,Lathifa Paradisa,Person
Q12473332,Baharuddin R.,Person
Q120579640,Indra Hadiwinanto,Person
Q120579647,Satria Hadiwinanto,Person
Q97670113,Ayu Sri Harahap,Person
Q112730643,Clarissa Wu,Person
Q65211883,Muhammad Kasuba,Person
Q120203387,Fabienne Nicole,Person
Q109437739,Edison Saleleubaja,Person
Q126485497,Dewa Rencana Perangin Angin,Person
Q123924554,Iit Sri Yantini,Person
Q25469360,Khairunas,Person
Q25468221,Rusma Yul Anwar,Person
Q124313241,Dwi Sumik Prihartini,Person
Q123900419,Achmad Sutan Mangkuto,Person
Q123900439,Darama,Person
Q109439936,Mangaraja Soangkupon,Person
Q123907526,Sitti Nur Muhammad Nur,Person
Q2670449,Taufiq Ismail,Person
Q111596749,Mas'ud,Person
Q106589401,Muhammad Iskandar,Person
Q106589402,Muhassonah,Person
Q123474068,Q123474068,Person
Q109430879,Zoerman Manap,Person
Q109438625,Arifien Manap,Person
Q19742786,Syamsidar Yahya,Person
Q134527526,Fatimah,Person
Q134527527,Abdul Rauf,Person
Q134527517,Indam Dewi,Person
Q112620857,Diana Moeis,Person
Q112623490,Achir Moeis,Person
Q112623619,Siti Kencana Moeis,Person
Q130341424,Arifin St. Saidi Maharadja,Person
Q112620267,Soelaiman Dt Toemanggoeng,Person
Q112620591,Siti Djariah,Person
Q112620858,Sunarsih,Person
Q123914190,Sriwahyu Zet,Person
Q123914198,Ibnu Abbas,Person
Q23009991,Ariani,Person
Q120774118,Sri Banun,Person
Q120798610,Juriah,Person
Q120726682,Haji Muhammad Nur,Person
Q120774143,Zawiyah,Person
Q120726684,Mardiah,Person
Q109449328,Sri Adiyati Alimudin,Person
Q109449218,Aries Sandi Darma Putra,Person
Q55238732,M. Quraish Shihab,Person
Q64824748,Alissa Qotrunnada,Person
Q64824842,Anita Hayatunnufus,Person
Q64824904,Inayah Wulandari,Person
Q56392155,Hasyim Wahid,Person
Q100699458,Sholihah Bisri,Person
Q55559888,RM Tjokroamiseno,Person
Q2603591,Oemar Said Tjokroaminoto,Person
Q130341550,Ismail Dt. Manggung,Person
Q130341552,Siti Fatimah Zahra,Person
Q3089681,Usmar Ismail,Person
Q135778143,Dja’ar Sutan Pamuncak,Person
Q135778144,Siti Dalisah,Person
Q106702856,Tatty Murnitriati,Person
Q12472166,Anindya Bakrie,Person
Q56416988,Anindra Ardiansyah Bakrie,Person
Q104412394,Anindhita Anestya Bakrie,Person
Q106702449,Nirwan Bakrie,Person
Q12470645,Achmad Bakrie,Person
Q106702451,Roosniah Nasution,Person
Q109449644,Rizka Amalia R Natakusumah,Person
Q12500336,Nelly Adam Malik,Person
Q12501007,Nunun Nurbaetie,Person
Q123943800,Intan Febrina Syahdati,Person
Q123943801,Prinselia Ghaida Adzkiana,Person
Q123943766,Emiyarti,Person
Q12500334,Nelson Septiadi,Person
Q130345188,Sukarni Butan,Person
Q123252098,Ranny Nooraini Jabbar,Person
Q123252149,Burhani Rahman,Person
Q123944121,Abdulgani Sutan Mangkuto,Person
Q123944133,Rabayah,Person
Q123944744,Zaksai Kasni,Person
Q123945601,Rahmi Lestari,Person
Q19731607,Rooslila Tahir,Person
Q12494918,Linda Amalia Sari,Person
Q16173631,Dali Tahir,Person
Q123945688,Gelora Surya Dharma,Person
Q123945692,Heriyanto Tahir,Person
Q123945697,Hari Indra Utama,Person
Q123945706,Yulia Saprita,Person
Q123945718,Chaerul Permata Cita,Person
Q12470654,Achmad Tahir,Person
Q26705152,Abdul Kadir Mappong,Person
Q123964570,Sri Mulyatini,Person
Q19723897,Ammar Zoni,Person
Q56394074,Panji Zoni,Person
Q123964568,Suhendri Zoni Alruvi,Person
Q123964573,Yasmine Ow,Person
Q4250939,Adinegoro,Person
Q123969692,Alidas,Person
Q124314752,Udin Adinegoro,Person
Q12503825,Paula Rumokoy,Person
Q123969917,Endang Sri Soerjantini,Person
Q16188259,Linda Djalil,Person
Q16182111,Ichsan Yasin Limpo,Person
Q16168802,Asrun,Person
Q108775557,Siska Karina Imran,Person
Q12488464,Kaharudin Datuk Rangkayo Basa,Person
Q124332419,Irawati,Person
Q124332420,Rinati Adrin,Person
Q124332421,Rika Martiwi,Person
Q124332422,Rizman Febrian,Person
Q123983212,Mariah,Person
Q16166722,Amrin Kahar,Person
Q124332454,Reno Gadis,Person
Q124332455,Mariati Kahar,Person
Q123983952,Yusman Marzuki,Person
Q105661460,Fatmasury Dahlan,Person
Q123983961,Gusni Rosyad,Person
Q123983975,Reynand Messi Afdhal,Person
Q123984813,Yuzaini Azman,Person
Q123985266,Putri Ariska Anggraini Noor,Person
Q123985270,Akmal Farhansyah Razzak,Person
Q123985280,Lutfia Nur Hasna Rahmatika,Person
