kodeId:ID,nama,:LABEL
Q108889821,,Politikus
Q108891524,,Politikus
Q108892599,,Politikus
Q109438116,,Politikus
Q133097619,,Politikus
Q123883143,'Aisyah Aleena Maheswari Novinda,Politikus
Q123883920,'Irfan Jauhari,Politikus
Q123714089,A Basuki Babussalam,Politikus
Q123884661,A Hafid Hasyim,Politikus
Q123873826,A Hasanusi Dr,Politikus
Q123725985,,Politikus
Q123897847,A Malik,Politikus
Q123887049,A Muhammadyah,Politikus
Q123885194,A Muis,Politikus
Q123726045,,Politikus
Q123710173,A Parlindungan Damanik,Politikus
Q123878438,A Sopyan Bhm,Politikus
Q123879835,A Sugeng Ariyadi,Politikus
Q123726482,,Politikus
Q123873986,A Trys Nofandy,Politikus
Q123868504,A'rif Rokhman,Politikus
Q123868923,A. A. Ayu Laras Paramitha,Politikus
Q122809332,A. A. Ayu Maha Indra Kemala Sanjaya,Politikus
Q123868695,A. A. Ngurah Agung,Politikus
Q123892740,A. Aan Nugraha,Politikus
Q123726078,,Politikus
Q123892185,A. Abdul Rasyid Kulle,Politikus
Q123871631,A. Abu Zazid,Politikus
Q123892236,A. Adrianti Latippa,Politikus
Q123893613,A. Afif Amrus,Politikus
Q123882022,A. Agung Satria Hermawan,Politikus
Q123892201,A. Agung Suryadi,Politikus
Q123892580,A. Amang Pawennari,Politikus
Q123892339,A. Amar,Politikus
Q123894694,A. Andriani Herdin,Politikus
Q123877275,A. Anggorokresno Abiwangsa,Politikus
Q123892441,A. Anwar Aksa,Politikus
Q123892484,A. Ardiatma,Politikus
Q123716372,A. Armal Al Hakam,Politikus
Q123892065,A. Asriani,Politikus
Q123892338,A. Ayu Andira,Politikus
Q123877350,A. Ayu Regita C.,Politikus
Q123892733,A. Azizah Irma Wahyudiyati,Politikus
Q123873503,A. Azmi Shofix S.R,Politikus
Q123880297,A. Baginda Muhammad Mahfuz H,Politikus
Q123712480,A. Bahrul Amiq,Politikus
Q123882711,A. Bambang Marsatriantoro,Politikus
Q123874391,A. Burhanuddin. Hb,Politikus
Q123883127,A. Cahyo Yudho Kuncoro,Politikus
Q123726074,,Politikus
Q123867506,A. Cholis Rowiyan,Politikus
Q123710617,A. Christianto Ari Wibowo,Politikus
Q123868223,A. Cut Muthia Ahmad M.,Politikus
Q123879866,A. Dawud Budiyatno,Politikus
Q123712094,A. Didi Abdul Hadi,Politikus
