politikus;kode_politikus;partai;kode_partai
Q108889821;Q108889821;Partai Amanat Nasional;Q2434365
Q108891524;Q108891524;Partai Demokrasi Indonesia Perjuangan;Q1186306
Q108892599;Q108892599;Partai NasDem;Q4207219
Q108892599;Q108892599;Partai Kebangkitan Nusantara;Q115754699
'Aisyah Aleena Maheswari Novinda;Q123883143;Partai NasDem;Q4207219
'Irfan Jauhari;Q123883920;Partai Kebangkitan Bangsa;Q1257317
A Basuki Babussalam;Q123714089;Partai Amanat Nasional;Q2434365
A Hafid Hasyim;Q123884661;Partai NasDem;Q4207219
A Hasanusi Dr;Q123873826;Partai Demokrat (Indonesia);Q1186227
A Malik;Q123897847;Partai Kebangkitan Bangsa;Q1257317
A Muhammadyah;Q123887049;Partai Gerakan Indonesia Raya;Q4261459
A Muis;Q123885194;Partai Gelombang Rakyat Indonesia;Q97016042
A Parlindungan Damanik;Q123710173;Partai Persatuan Indonesia;Q19752495
A Sopyan Bhm;Q123878438;Partai Gerakan Indonesia Raya;Q4261459
A Sugeng Ariyadi;Q123879835;Partai Garda Republik Indonesia;Q123553440
A Trys Nofandy;Q123873986;Partai Ummat;Q106255756
A'rif Rokhman;Q123868504;Partai Demokrasi Indonesia Perjuangan;Q1186306
A. A. Ayu Laras Paramitha;Q123868923;Partai Kebangkitan Bangsa;Q1257317
A. A. Ayu Maha Indra Kemala Sanjaya;Q122809332;Partai Gerakan Indonesia Raya;Q4261459
A. A. Ngurah Agung;Q123868695;Partai NasDem;Q4207219
A. Aan Nugraha;Q123892740;Partai NasDem;Q4207219
A. Abdul Rasyid Kulle;Q123892185;Partai Amanat Nasional;Q2434365
A. Abu Zazid;Q123871631;Partai Kebangkitan Bangsa;Q1257317
A. Adrianti Latippa;Q123892236;Partai Gerakan Indonesia Raya;Q4261459
A. Afif Amrus;Q123893613;Partai Demokrat (Indonesia);Q1186227
A. Agung Satria Hermawan;Q123882022;Partai Demokrasi Indonesia Perjuangan;Q1186306
A. Agung Suryadi;Q123892201;Partai Demokrat (Indonesia);Q1186227
A. Amang Pawennari;Q123892580;Partai Bulan Bintang;Q2915024
A. Amar;Q123892339;Partai Golongan Karya;Q1536552
A. Andriani Herdin;Q123894694;Partai Demokrat (Indonesia);Q1186227
A. Anggorokresno Abiwangsa;Q123877275;Partai Golongan Karya;Q1536552
A. Anwar Aksa;Q123892441;Partai NasDem;Q4207219
A. Ardiatma;Q123892484;Partai Demokrat (Indonesia);Q1186227
A. Armal Al Hakam;Q123716372;Partai Demokrasi Indonesia Perjuangan;Q1186306
A. Asriani;Q123892065;Partai Bulan Bintang;Q2915024
A. Ayu Andira;Q123892338;Partai Golongan Karya;Q1536552
A. Ayu Regita C.;Q123877350;Partai Amanat Nasional;Q2434365
A. Azizah Irma Wahyudiyati;Q123892733;Partai NasDem;Q4207219
A. Azmi Shofix S.R;Q123873503;Partai Demokrat (Indonesia);Q1186227
A. Baginda Muhammad Mahfuz H;Q123880297;Partai Demokrasi Indonesia Perjuangan;Q1186306
A. Bahrul Amiq;Q123712480;Partai Kebangkitan Bangsa;Q1257317
A. Bambang Marsatriantoro;Q123882711;Partai Solidaritas Indonesia;Q23744654
A. Burhanuddin. Hb;Q123874391;Partai Amanat Nasional;Q2434365
A. Cahyo Yudho Kuncoro;Q123883127;Partai Gerakan Indonesia Raya;Q4261459
A. Cholis Rowiyan;Q123867506;Partai Amanat Nasional;Q2434365
A. Christianto Ari Wibowo;Q123710617;Partai Golongan Karya;Q1536552
A. Cut Muthia Ahmad M.;Q123868223;Partai Keadilan Sejahtera;Q1511101
A. Dawud Budiyatno;Q123879866;Partai Ummat;Q106255756
A. Didi Abdul Hadi;Q123712094;Partai Persatuan Pembangunan;Q2669302
A. Dimyati;Q123867507;Partai Amanat Nasional;Q2434365
A. Drajat Ahmad Putra;Q123867390;Partai Amanat Nasional;Q2434365
A. Dyah Ayu Widyana Ring Asmoro;Q123882888;Partai Demokrasi Indonesia Perjuangan;Q1186306
A. Eva Faolia T. A;Q123891895;Partai Golongan Karya;Q1536552
A. Fachruddin;Q123715527;Partai NasDem;Q4207219
A. Fahma Mikaila;Q123714328;Partai Persatuan Indonesia;Q19752495
