pendidikan;kode_pendidikan
Anglo-Chinese School;Q4763600
Asia-Pacific Center for Security Studies;Q4806246
Asian Institute of Technology;Q727675
California Miramar University;Q1026836
California State University, Northridge;Q1026939
Canisius University;Q1033335
Chapman University;Q1805085
Christ Church Grammar School;Q5108805
Chuo University;Q1091287
Clare Hall;Q762068
Clark University;Q1095773
Collège du Léman;Q4036405
Concord College;Q5158784
Cornell University College of Agriculture and Life Sciences;Q5171560
Crescent Girls' School;Q5184361
De La Salle University;Q1815710
Ellesmere College;Q5365245
Georgia Southern University-Armstrong Campus;Q4793919
Glasgow Caledonian University;Q1353139
Glendale Community College;Q5568357
Golden Gate University;Q1534879
Hang Tuah University;Q52637569
Harlandale High School;Q5658432
Harvard T.H. Chan School of Public Health;Q5676556
Haverford College;Q579611
IKA STAIN Purwokerto;Q74433163
ISS International School;Q5974512
Ibaraki University;Q1209685
Immanuel College;Q6004629
Institut Ilmu Pemerintahan Jakarta;Q97570581
Institut Islam Mamba'ul 'Ulum Surakarta;Q97581736
Institute of Business Management Jayakarta;Q108966439
Institute of Tropical Medicine Antwerp;Q1881864
International Institute of Social Studies;Q2811679
International School of Screen Acting;Q98713576
Iowa State University;Q1136919
Jakarta Merchant Marine Institute;Q97941611
Jinan University;Q2687517
Johannes Kepler University Linz;Q682739
Karachi Grammar School;Q6367758
Katholieke Universiteit Leuven;Q833670
Kindai University;Q912329
Lee Kuan Yew School of Public Policy;Q6514349
Management Development Institute of Singapore;Q6746666
Metropolitan State University of Denver;Q613736
National University;Q1568237
New Orleans University;Q7010804
New Zealand School Jakarta;Q25066942
Newport University;Q890928
North Carolina State University;Q1132346
Oklahoma City University;Q3443498
Ottawa University;Q7109265
Pacific Western University;Q1087492
Paul H. Nitze School of Advanced International Studies;Q1352632
Pelita Harapan School;Q7161482
Pendidikan Guru Madrasah Ibtidaiyah (PGMI);Q74433095
Ranger School;Q3418943
SD Negeri Dukuhmulyo 2;Q98768248
SD Negeri Karubaga;Q98202778
SD Tarakanita 2;Q98635243
SMA Kristen YPKPM Ambon;Q98745782
SMP Budi Waluyo Jakarta;Q97596489
SMP Negeri 1 Jakenan;Q98768246
SMP Negeri 4 Karawang;Q97596279
SMP Negeri 40 Jakarta;Q97577681
SMP Negeri 5 Yogyakarta;Q97596258
SMPN 168 Jakarta;Q12708495
STIE Palangka Raya;Q97621584
STIMA IMMI JAKARTA;Q97577630
Sekolah Tinggi Ilmu Ekonomi (STIE) Pasundan;Q52664799
St Lawrence College;Q7589481
St Pius X College;Q2983676
St. Mary's Academy of Pasay;Q7590080
Stanford Graduate School of Business;Q1413558
Stedelijk Gymnasium Haarlem;Q57046996
TH Köln – University of Applied Sciences;Q54166
Takushoku University;Q534845
Technical University of Lisbon;Q1362729
The American School in London;Q7713555
The Fletcher School of Law and Diplomacy;Q1073441
The Public Authority for Applied Education and Training;Q7758687
Tomo;Q52907010
UNAIR;Q74546091
United States Army Airborne School;Q540280
United States Army Command and General Staff College;Q1115050
Universitas Caritas Indonesia;Q129343459
Universitas Gadjah Mada, Fakultas Kedokteran Hewan;Q74555374
Universitas Islam Negeri Syarif Hidayatullah Jakarta, Fakultas Syari'ah dan Hukum;Q74551587
Universitas Kejuangan 45 Jakarta;Q30294479
University at Buffalo;Q681025
University of Bridgeport;Q1055874
University of California, Berkeley College of Environmental Design;Q5146711
University of Hull;Q1474019
University of Konstanz;Q835440
University of Maryland School of Public Policy;Q7895699
University of Münster;Q168426
University of New England;Q1814435
University of North Carolina;Q1191202
University of Ottawa;Q627969
University of Plymouth;Q1711558
University of Reading;Q1432632
University of Salford;Q2738622
University of Strathclyde;Q1859178
University of Tulsa;Q1848657
Université libre de Bruxelles;Q574606
Virginia Commonwealth University;Q2303536
Warren National University;Q7970404
Webster University;Q1465303
Wichita State University;Q429561
Williston Northampton School;Q8022149
APDN Makassar;Q97570586
Akademi Angkatan Laut;Q12471192
Akademi Angkatan Udara;Q12471193
Akademi Kepolisian;Q17997867
Akademi Maritim Djadajat;Q109913657
Akademi Militer;Q10862512
Akademi TNI;Q12471222
Akademi Tentara Nasional Indonesia;Q12471190
Algemeene Middelbare School;Q2626206
American World University;Q4745400
Berkshire School;Q4892294
Biola University;Q864450
Colorado State University;Q1111640
Corpus Christi College, Cambridge;Q536282
Diniyyah Puteri Padang Panjang;Q12481560
Europeesche Lagere School;Q1890262
Fakultas Hukum Universitas Harvard;Q49122
Fakultas Hukum Universitas Lambung Mangkurat;Q12482738
Fakultas Keguruan dan Ilmu Pendidikan Universitas Sebelas Maret;Q20427430
Fort Moore;Q1438462
Frankfurt University of Applied Sciences Archido;Q101259110
Hogereburgerschool;Q3217284
Hollandsch-Inlandsche School;Q7428928
IAIN Ar-Raniry;Q12486117
IAIN Imam Bonjol Padang;Q109921406
INSEAD;Q1136829
Imperial College London;Q189022
Institut Agama Islam Darussalam Ciamis;Q25468649
Institut Agama Islam Negeri Pontianak;Q14917448
Institut Bisnis dan Informatika Indonesia;Q12486643
Institut Ilmu Sosial dan Ilmu Politik Jakarta;Q12486647
Institut Keguruan dan Ilmu Pendidikan;Q12486667
Institut Kesenian Jakarta;Q3806225
Institut Komunikasi dan Bisnis LSPR;Q19741356
Institut Manajemen Asia;Q1057398
Institut Manajemen Telkom;Q7697348
Institut Pemerintahan Dalam Negeri;Q19751985
Institut Pertanian Bogor;Q2306715
Institut Sains dan Teknologi Nasional;Q12486653
Institut Seni Indonesia Yogyakarta;Q3152325
Institut Teknologi Bandung;Q1579397
Institut Teknologi Indonesia;Q12486657
Institut Teknologi Medan;Q12486659
Institut Teknologi Nasional;Q12486660
Institut Teknologi Sepuluh Nopember;Q7452397
Institut Teknologi Telkom;Q3846721
Institut Transportasi dan Logistik Trisakti;Q12513102
Jamiat Kheir;Q18206727
Japan Advanced Institute of Science and Technology;Q845138
Kolese Kanisius;Q1824905
Kolese Winchester;Q1059517
Koning Willem III School te Batavia;Q19727928
Koninklijke Militaire Academie;Q934782
Kweekschool Fort de Kock;Q58667835
Lembaga Ilmu Pengetahuan Islam dan Arab;Q10862378
Lembaga Ketahanan Nasional;Q12494364
Lembaga Pelatihan Eropa;Q372042
London School of Economics and Political Science;Q174570
MA Kulliyatul Muballighien;Q65250918
MAN 1 Banyuwangi;Q12495724
MAN 2 Padang Panjang;Q72811494
MAS Darularafah;Q123444875
MIN 1 Kota Bandung;Q97577578
MIN 12 Bireuen;Q123768131
MIS Mi Miftahul Falah Barak Bokong;Q64870303
MTSN Srono Banyuwangi;Q97608144
MTs Darul Ulum Rimbo Bujang;Q64887949
MTs Darularafah;Q125240694
MTs Islamiyah Kota Pinang;Q125240465
MTs Negeri 1 Payakumbuh;Q123766785
MTs Negeri 2 Padang Pariaman;Q123766730
MTs Negeri 2 Solok Selatan;Q123766765
MTs Negeri 6 Padang;Q123766780
Meer Uitgebreid Lager Onderwijs;Q2190504
Northern Illinois University;Q1191344
Opleiding School Voor Inlandsche Ambtenaren;Q12501424
Pasca Sarjana Universitas Sumatera Utara;Q97570549
Pembela Tanah Air;Q3180139
Perguruan Cikini;Q12504954
Perguruan Thawalib Padang Panjang;Q97234922
Politeknik Ilmu Pelayaran Semarang;Q12506014
Politeknik Negeri Padang;Q4027436
Politeknik Negeri Pontianak;Q18627429
Politeknik STIA LAN Bandung;Q97572810
Pondok Modern Darussalam Gontor;Q12506117
Pondok Pesantren El-Nur El-Kasysyaf;Q125914672
Pondok Pesantren Tebuireng;Q12506153
Pondok Pesantren Wali Songo Ngabar;Q4208174
Radboud Universiteit;Q632004
Rechtshoogeschool te Batavia;Q19752649
Ritsumeikan Asia Pacific University;Q1133142
SD Budi Mulia Bogor;Q97598818
SD Immanuel;Q12509708
SD Islam Mujahidin;Q64881072
SD Merdeka;Q12509743
SD Muhammadiyah 24;Q12509746
SD Negeri 060951 Medan;Q124104697
SD Negeri 09 Tebet Timur;Q99088852
SD Negeri 1 Kawali;Q124200097
SD Negeri 1 Padang Panjang Barat;Q121119286
SD Negeri 1 Remban;Q123809140
SD Negeri 1 Sijunjung;Q109332412
SD Negeri 1/VI Bangko I;Q64888980
SD Negeri 10 Ciamis;Q124187886
SD Negeri 2 Ampalu;Q123813551
SD Negeri 2 Kotapinang;Q124079002
SD Negeri 4 Biaro;Q116844713
SD Negeri 4 Koto Baru;Q123814737
SD Negeri 5 Bengkalis;Q123806109
SD Negeri Jember Kidul 1;Q124205630
SD Negeri Lubang Buaya 13 Pagi;Q12509597
SD Negeri Pacet 1;Q124183367
SD Negeri Pulogadung 2 Petang;Q20460957
SD Negeri Ungaran I Yogyakarta;Q97596265
SD Taman Siswa;Q64828459
SD Yos Sudarso Garut Kota;Q111684068
SDN I Ambon;Q98745833
